action,id,pId,labelNode,labelLink
C2,1,0,,1M
C2,2,1,,1M
C2,3,2,,1M
C2,4,3,,1M
C2,5,4,,1M
C2,6,4,,5R
C2,7,3,,8R
C2,8,2,,12R
C2,9,1,,17R
C2,10,9,,1M
C2,11,10,,1M
C2,12,11,,1M
C2,13,12,,1M
C2,14,12,,5R
C2,15,11,,9R
C2,16,15,,1R
C2,17,16,,1M
C2,18,16,,3R
C1,19,18,,s
C2,20,19,,1M
C2,21,20,,1M
C2,22,20,,3R
C2,23,19,,9R
C2,24,10,,30R
C2,25,24,,1M
C2,26,25,,1M
C2,27,26,,1M
C2,28,27,,1M
C2,29,28,,1M
C2,30,29,,1M
C2,31,30,,1M
C2,32,31,,1M
C2,33,32,,1M
C2,34,33,,1M
C2,35,34,,1M
C2,36,35,,1M
C2,37,36,,1M
C2,38,37,,1M
C2,39,38,,1M
C2,40,39,,1M
C2,41,40,,1M
C2,42,41,,1M
C2,43,42,,1R
C2,44,43,,83L
C2,45,44,,1M
C2,46,45,,74L
C2,47,46,,1L
C2,48,46,,2M
C2,49,48,,67L
C2,50,49,,1M
C2,51,50,,1M
C2,52,51,,1M
C2,53,52,,1M
C2,54,53,,1M
C2,55,54,,1M
C2,56,55,,53L
C2,57,56,,1M
C2,58,57,,1M
C2,59,58,,1M
C2,60,59,,4L
C2,61,59,,5M
C2,62,61,,2L
C2,63,61,,3M
C2,64,63,,8L
C2,65,64,,1M
C2,66,65,,1M
C2,67,63,,9M
C2,68,67,,12L
C1,69,68,,s
C1,70,68,,s
C2,71,70,,1L
C2,72,70,,2M
C2,73,70,,4R
C2,74,67,,13M
C2,75,67,,17R
C2,76,63,,29R
C2,77,61,,36R
C2,78,61,,10L
C2,79,78,,1R
C2,80,79,,1M
C2,81,80,,1M
C2,82,80,,3R
C2,83,61,,11M
C2,84,83,,1M
K2,84,67,Cut by 67,
U,67,84,Used by 84,
C2,85,83,,21R
C2,86,61,,36R
C2,87,56,,51L
C2,88,87,,1M
C2,89,88,,1M
C2,90,89,,1M
C2,91,90,,1M
C2,92,91,,3L
C2,93,91,,4M
C2,94,93,,2L
C2,95,93,,3M
C2,96,95,,1M
C2,97,96,,1M
