action,id,pId,labelNode,labelLink
C2,1,0,,Created by method 2
B,1,,Branched,
C2,2,1,,Created by method 2
B,2,,Branched,
C2,3,2,,Created by method 2
B,3,,Branched,
C1,4,3,,Created by method 1
K2,4,,Cut by 1,
U,1,,Used by 4,
C2,5,3,,Created by method 2
B,5,,Branched,
C2,6,5,,
B,6,,Branched,
C2,7,6,,Created by method 2
B,7,,,
C2,8,7,,1M
C2,9,7,,6R
C2,10,6,,10R
B,10,,,
C2,11,10,,1M
C2,12,10,,5R
C2,13,5,,20R
C2,14,3,,26R
K2,14,,Cut by 7,
U,7,,Used by 14,
C2,15,2,,3M
B,15,,,
C2,16,15,,3L
C2,17,15,,4M
K2,17,,Cut by 5,
U,5,17,Used by 17,
C2,18,15,,24R
C2,19,1,,3L
K2,19,,Cut by 15,
U,15,,Used by 19,
C2,20,1,,4M
B,20,,,
C2,21,20,,3L
C2,22,20,,4M
B,22,,,
C2,23,22,,1M
B,23,,,
C2,24,23,,1M
B,24,,,
C2,25,24,,1M
B,25,,,
C2,26,25,,1M
K2,26,,Cut by 24,
U,24,,Used by 26,
C2,27,25,,5R
C2,28,24,,9R
B,28,,,
C2,29,28,,1M
C2,30,28,,5R
C2,31,23,,18R
K2,31,,Cut by 12,
U,12,,Used by 31,
C2,32,22,,20R
B,32,,,
C2,33,32,,20R
B,33,,,
C2,34,33,,27R
C2,35,33,,27R
B,35,,,
C2,36,35,,27R
K2,36,,Cut by 32,
U,32,,Used by 36,
C2,37,35,,27R
